question,ground_truth,evolution_type,contexts,answer,faithfulness,answer_relevancy,context_precision,context_recall
What is the retention period for financial documents?,Financial documents should be retained for 7 years according to regulation.,simple,"[""[Context from knowledge base: Financial documents should be retained for 7 years according to regulation....]""]","The retention period for financial documents typically ranges from 3 to 7 years, depending on the type of document and regulatory requirements. For example, the IRS requires tax records to be kept for at least 3 years, while some states may have longer requirements. Always check specific regulations applicable to your jurisdiction and industry.",0.6516,0.7881,0.6785,0.7152
How does RAG improve answer quality?,RAG combines retrieval with generation to provide context-grounded answers.,simple,"[""[Context from knowledge base: RAG combines retrieval with generation to provide context-grounded answers....]""]","RAG (Retrieval-Augmented Generation) improves answer quality by combining the strengths of information retrieval and natural language generation. It retrieves relevant documents or data to provide contextually accurate and up-to-date information, enhancing the relevance and precision of generated responses. This approach helps in addressing specific queries more effectively than using generative models alone.",0.65,0.7,0.55,0.6677
What are the customer onboarding requirements?,KYC requires identity verification and address confirmation.,simple,"[""[Context from knowledge base: KYC requires identity verification and address confirmation....]""]","Customer onboarding requirements typically include verifying the customer's identity through government-issued identification, collecting personal information such as name, address, and date of birth, and assessing the customer's risk profile for compliance with anti-money laundering (AML) regulations. Financial institutions may also require proof of address and information about the source of funds. Additionally, institutions must comply with Know Your Customer (KYC) regulations during the onboarding process.",0.65,0.7,0.55,0.6726
What is the minimum credit score for loan approval?,Minimum credit score is 650 for standard loan approval.,simple,"[""[Context from knowledge base: Minimum credit score is 650 for standard loan approval....]""]","The minimum credit score for loan approval varies by lender and loan type, but generally, a score of 620 is considered the minimum for conventional loans. FHA loans may allow scores as low as 580 with a 3.5% down payment. Always check with specific lenders for their requirements.",0.8415,0.7985,0.6621,0.7533
How often must compliance reports be filed?,Compliance reports must be filed quarterly.,simple,"[""[Context from knowledge base: Compliance reports must be filed quarterly....]""]","The frequency of compliance report filings varies by jurisdiction and regulatory requirements, but many financial institutions are required to file reports quarterly or annually. Specific timelines can depend on the type of compliance obligations, such as anti-money laundering (AML) or consumer protection regulations. Always refer to the relevant regulatory authority for precise requirements.",0.65,0.7,0.55,0.6
What is the interest rate for savings accounts?,Savings account rate is 5.5% annually.,simple,"[""[Context from knowledge base: Savings account rate is 5.5% annually....]""]","Interest rates for savings accounts vary by bank and can change frequently. As of October 2023, typical rates range from 0.01% to 4.00% APY, depending on the institution and account type. It's best to check with specific banks for their current rates.",0.65,0.7,0.55,0.6
Who approves new customer accounts?,New customer accounts are approved by the compliance team.,simple,"[""[Context from knowledge base: New customer accounts are approved by the compliance team....]""]","New customer accounts are typically approved by the bank's compliance department or account opening team, following established procedures that include identity verification and risk assessment. In some cases, senior management may also be involved in approving accounts for high-risk customers.",0.95,0.95,0.8888,0.95
What documents are required for loan application?,"ID, income proof, bank statements, and collateral documents.",simple,"[""[Context from knowledge base: ID, income proof, bank statements, and collateral documents....]""]","Common documents required for a loan application include proof of identity (such as a government-issued ID), proof of income (like pay stubs or tax returns), credit history, and details of assets and liabilities. Additional documents may be needed depending on the type of loan and lender requirements. Always check with the specific lender for their exact documentation requirements.",0.65,0.7,0.55,0.6
When is the annual compliance audit conducted?,Annual compliance audit is conducted in Q4 each year.,simple,"[""[Context from knowledge base: Annual compliance audit is conducted in Q4 each year....]""]",The annual compliance audit is typically conducted at the end of the fiscal year or as specified by regulatory requirements. The exact timing can vary based on the organization's policies and the specific regulations applicable to the industry. It's essential to check the organization's compliance calendar for precise dates.,0.65,0.7979,0.747,0.7672
What is the maximum loan amount for personal loans?,"Maximum personal loan amount is $500,000.",simple,"[""[Context from knowledge base: Maximum personal loan amount is $500,000....]""]","The maximum loan amount for personal loans typically ranges from $1,000 to $100,000, depending on the lender, the borrower's creditworthiness, and income. Some lenders may offer higher amounts for qualified borrowers. Always check with specific lenders for their limits.",0.7624,0.7813,0.7877,0.8047
What is the fixed deposit rate for 1-year term?,Fixed deposit rate for 1-year term is 7.2%.,simple,"[""[Context from knowledge base: Fixed deposit rate for 1-year term is 7.2%....]""]","Fixed deposit rates for a 1-year term vary by bank and can change frequently. As of October 2023, rates typically range from 3% to 6% annually, depending on the financial institution and market conditions. It's best to check with specific banks for their current rates.",0.6933,0.7993,0.5836,0.8569
How to report a security incident?,Security incidents should be reported via the incident management portal within 24 hours.,simple,"[""[Context from knowledge base: Security incidents should be reported via the incident management portal within ...]""]","To report a security incident, contact your organization's designated security team or help desk immediately. Provide detailed information about the incident, including what occurred, when it happened, and any relevant evidence. Follow your organization's incident response procedures for further actions.",0.65,0.7,0.55,0.6
What is the data breach notification timeline?,Data breaches must be reported within 72 hours.,simple,"[""[Context from knowledge base: Data breaches must be reported within 72 hours....]""]","The data breach notification timeline varies by jurisdiction, but generally, organizations must notify affected individuals and relevant authorities within a specific timeframe, often within 30 to 72 hours of discovering the breach. In the U.S., state laws dictate the specific requirements, while the GDPR mandates notification within 72 hours for breaches involving personal data. Always check local regulations for precise timelines.",0.757,0.7527,0.8174,0.83
Who is the data protection officer?,The DPO is appointed by the board and reports directly to compliance.,simple,"[""[Context from knowledge base: The DPO is appointed by the board and reports directly to compliance....]""]","The Data Protection Officer (DPO) is an individual appointed by an organization to oversee data protection strategies and ensure compliance with data protection laws, such as the GDPR. The DPO serves as a point of contact for data subjects and regulatory authorities regarding data privacy matters. The specific person or role designated as DPO varies by organization.",0.8273,0.8706,0.7358,0.8707
What is the password policy requirement?,Passwords must be 12+ characters with complexity requirements.,simple,"[""[Context from knowledge base: Passwords must be 12+ characters with complexity requirements....]""]","Password policy requirements typically include a minimum length (often 8-12 characters), a mix of uppercase and lowercase letters, numbers, and special characters. Policies may also require regular password changes and prohibit the use of easily guessable information. Specific requirements can vary by institution and regulatory guidelines.",0.65,0.7,0.55,0.6
